,title,area,numberOfRooms,price,town,district
44,ARNAVUTKÖY'DE HAVALİMANINA 5 DAKİKA UZAKLIKTA!!!,114,2+1,3.500,Taşoluk,Fatih Mah.
45,Arnavutköy Mustafa Kemal Paşa Mah. Kiralık 2+1 Giriş Daire,90,2+1,6.000,Arnavutköy,Mustafa Kemal Paşa Mh.
46,ETRAFI KAPALI KAMERALI SİTE İÇİ ARA KAT 3+1 UYGUN FİYATA,140,3+1,3.500,Taşoluk,Fatih Mah.
47,KİRALIK DUBLEX TAŞOLUK,200,4+2,9.500,Taşoluk,Taşoluk Mh.
48,Kamu ve Havalimanı Personeline Kiralık 3+1 Daire,130,3+1,7.000,Haraççı,Karlıbayır Mh.
49,Aslı emlaktan bollucada butik site içinde kiralık çatı katı dair,95,2+1,5.000,Bolluca,Mavigöl Mh.
50,sahibinden Kiptaş kont havalimanı belediye okul AVM heryereyakin,115,3+1,7.000,Arnavutköy,Mustafa Kemal Paşa Mh.
51,3+1 sahibinden Arnavutköy merkez mahallesinde,110,3+1,7.700,Arnavutköy,Arnavutköy Merkez Mh.
52,Arnavutköy İslambey Mahallesi 2+1 Eşyalı 0 Kiralık Daire,85,2+1,4.999,Arnavutköy,İslambey Mh.
53,HAVALİMANI PERSONELİNE/MEMURA LÜKS 2+1 DAİRE,100,2+1,5.100,Arnavutköy,Mustafa Kemal Paşa Mh.
54,Kiptaş Ömerli Kiralık Daire,95,2+1,5.000,Hadımköy,(Boyalık)Ömerli Mh.
55,ARNAVUTKÖYDE KİRALIK 3+1 120 M2 DAİRE,125,3+1,4.500,Arnavutköy,Anadolu Mah.
56,HAVAİŞ YAPI KOOPERATİFİ SKYPARK 1SIFIR DUBLEKS DAİRE 2+1 KİRALIK,100,2+1,8.750,Taşoluk,Mareşal Fevzi Çakmak Mh.
57,TAŞOLUK TOKİ KONUTLARI İÇERİSİNDE 2+1 KİRALIK DAİRE,90,2+1,8.000,Taşoluk,Taşoluk Mh.
58,FIRSAT BAHÇELİ 1+1 KEYİFLE OTURULACAK DAİRE,80,1+1,5.500,Taşoluk,Mareşal Fevzi Çakmak Mh.
59,Kiralık 2+1 Arakat 90 m2,100,2+1,4.750,Boğazköy,Boğazköy İstiklal Mh.
60,Maviçam Sitesinde Bahçeli 4+1 (Sahibinden),180,4+1,12.500,Taşoluk,Mareşal Fevzi Çakmak Mh.
61,sahibinden,120,3+1,5.000,Arnavutköy,Anadolu Mah.
62,DELİKLİKAYA KİPTAŞ 3. ETAP TA KİRALIK 2+1,84,2+1,4.250,Hadımköy,(Boyalık)Deliklikaya Mah.
63,Yavuzselim mahallesi 2+1 kiralık daire,85,2+1,4.100,Arnavutköy,Yavuz Selim Mah.
64,Bolluca mavigöl mah sıfır kiralık daire,95,2+1,5.500,Bolluca,Mavigöl Mh.
65,"GİRİŞ ÜSTÜ DELİKLİKAYA HADIMKÖY KİPTAŞ 3.ETAP 2+1,3.900.- TL",84,2+1,3.900,Hadımköy,(Boyalık)Deliklikaya Mah.
66,Vadi Konakları sitesinde 2+1 daire,90,2+1,4.000,Arnavutköy,Mustafa Kemal Paşa Mh.
67,Hadımköy 3.etap da sahibinden kiralık daire,84,2+1,4.000,Hadımköy,(Boyalık)Deliklikaya Mah.
68,Arnavutköy'de 2+1 130 M2 Kiralık Hom Ofisi,140,2+1,6.500,Arnavutköy,Mustafa Kemal Paşa Mh.
69,TAŞOLUK TA KİRALIK 2+1 KİRALIK DAİRE,100,2+1,7.000,Taşoluk,Taşoluk Mh.
70,Kiralık daire,80,2+1,3.000,Arnavutköy,İslambey Mh.
71,5K İNŞAAT TAN EŞYALI TERAS KAT DAİRE,70,1+1,5.000,Haraççı,Karlıbayır Mh.
72,SAHİBİNDEN LÜX SIFIR KİRALIK DAİRE AVLU AVM İKİ DK,105,2+1,6.000,Arnavutköy,Mustafa Kemal Paşa Mh.
73,İstanbul hava alanına 5 dk bahçe katı THY çalışanına,100,2+1,6.500,Taşoluk,Mareşal Fevzi Çakmak Mh.
74,AYAZMA İLKÖĞRETİM OKULUNA YAKIN ARAKAT DAİRE,110,2+1,5.200,Arnavutköy,Yunus Emre Mah.
75,eşyalı 250 m2,250,6+1,15.000,Arnavutköy,Yunus Emre Mah.
76,ARNAVUTKOY MERKEZE YAKIN KIRALIK LUX DAIRE,100,2+1,4.800,Arnavutköy,İslambey Mh.
77,Elmas life Taşoluk ta butik sitede 2+1 kiralık arakat daire!!,95,2+1,6.000,Taşoluk,Taşoluk Mh.
78,ARNAVUTKÖY KARABURUNDA FULL EŞYALI 4+1 DUBLEKS BAHÇELİ VİLLA,200,4+1,15.000,Köyler,Karaburun Mh.
79,BALKAYALAR MAVİGÖLDE KİRALIK EŞYASIZ 2+1 DAİRE 5500 TL,120,2+1,5.500,Bolluca,
80,HADIMKÖY KİPTAŞ 3.ETAPTA 2+1 KİRALIK ÇİFT CEPHE DAİRE,84,2+1,4.000,Hadımköy,(Boyalık)Deliklikaya Mah.
81,DRS GAYRİMENKUL'DEN 2+1 TERS DUBLEX DAİRE MEMURA,90,2+1,3.750,Arnavutköy,Anadolu Mah.
82,arnavutkoy bogazkoyde 1+1 kiralik daire,70,1+1,3.700,Boğazköy,Boğazköy İstiklal Mh.
83,Arnavutköy Kiptaş Konutları Eşyalı Kiralık Daire,85,2+1,8.500,Arnavutköy,Mustafa Kemal Paşa Mh.
84,Eşyali limana 10 dk lüks daire,130,3+1,16.000,Köyler,Tayakadın Mh.
85,Kiralik 2+1 daire,90,2+1,4.500,Taşoluk,Mehmet Akif Ersoy Mah.
86,2+1 Eşyalı Bahçe Katı,85,2+1,4.000,Boğazköy,Atatürk Mh.
87,DAF YAPIDAN ARNAVUTKÖY MERKEZDE 2+1 KİRALIK DAİRE,98,2+1,6.000,Arnavutköy,Mustafa Kemal Paşa Mh.
88,DAF YAPIDAN ARNAVUTKÖY MERKEZDE 2+1 KİRALIK DAİRE,118,2+1,5.250,Arnavutköy,Arnavutköy Merkez Mh.
89,KW KARMA'DAN ARNAVUTKÖY BOLLUCA KİRALIK 2+1 DAİRE,87,2+1,6.250,Boğazköy,Atatürk Mh.
90,HADIMKÖY KİPTAŞ 1.ETAP'TA 2+1 KİRALIK DAİRE,70,2+1,4.250,Arnavutköy,Hadımköy Mh.
91,2+1 40 metre Eşyalı daire,40,2+1,4.500,Taşoluk,Mareşal Fevzi Çakmak Mh.
92,HADIMKÖY MERKEZDE KİRALIK LÜKS DAİRE,125,2+1,5.600,Hadımköy,(Boyalık)Hastane Mah.
93,BALKAYALAR BOLLUCA OKULUN DİBİNDE KİRALIK 1+1 DAİRE 4.500 TL,70,1+1,4.500,Bolluca,
94,Hadımköy vefa konutları kiralık 2+1 daire,117,2+1,5.500,Arnavutköy,Hadımköy Mh.
95,Kiptaş Hadımköy 1. Etapta Sahibinden Kiralık 2+1 Daire,90,2+1,3.500,Arnavutköy,Hadımköy Mh.
96,SOYAK KONFORİA3+1B TİPİ EN GENİŞ MODEL DAİRE KİRALIK-TEK YETKİLİ,140,3+1,7.800,Hadımköy,(Boyalık)Deliklikaya Mah.
97,Sky park 1 de 1+1 daireler havalimanına 5 dk mesafede,55,1+1,5.000,Taşoluk,Mareşal Fevzi Çakmak Mh.
98,3+1 140m2 Merkeze 10 dk. yürüme mesafesinde 2 caddenin ortasında,140,3+1,5.000,Arnavutköy,Mustafa Kemal Paşa Mh.
99,KİPTAŞ 3.ETAP'TA LÜKS EŞYALI 2+1 TEMİZ DAİRE TURYAP'TAN,85,2+1,6.450,Hadımköy,(Boyalık)Deliklikaya Mah.
100,Arnavutköy Avlu34 Avm 2'dk Yürüme Mesafesin'de 2+1 ÇatıKat Daire,85,2+1,5.000,Arnavutköy,Arnavutköy Merkez Mh.
101,Arnavutköy İslambey' de Temiz Taşınmaya Hazır 2+1 Kiralık Daire,115,2+1,6.250,Arnavutköy,İslambey Mh.
102,DELİKLİKAYA ELİT BAHÇEKENT SİTESİ'NDE KİRALIK 3+1 DAİRE,172,3+1,7.000,Hadımköy,(Boyalık)Deliklikaya Mah.
103,Miaport 1.Etap Arnavutköy'de projenin en iyi konumunda 1+1,80,1+1,5.700,Haraççı,Haraççı Mh.
104,HADIMKÖY KİPTAŞ 2.ETAP ÖMERLİ KİRALIK DAİRE TURYAP REDOX EMLAK,75,2+1,4.200,Hadımköy,(Boyalık)Ömerli Mh.
105,TAŞOLUK FATİH MAHALLESİNDE MEMURA VEYA AİLEYE KİRALIK,170,3+2,5.000,Taşoluk,Fatih Mah.
106,Kiralık daire,90,1+1,6.000,Haraççı,Haraççı Mh.
107,ARNAVUTKÖY CARDAKTEPEDE KİRALİK SİFİR BAHCE KATİ,90,2+1,4.000,Arnavutköy,Nenehatun Mah.
108,çatı katı eşyalı 1+1,70,1+1,6.500,Arnavutköy,Anadolu Mah.
109,Kiralık daire,70,1+1,3.800,Arnavutköy,Anadolu Mah.
110,ARNAVUTKÖY DELİKLİKAYA'DA 3+1 KİRALIK DAİRE,172,3+1,7.500,Hadımköy,(Boyalık)Deliklikaya Mah.
111,Kiralık daire,100,2+0,3.000,Hadımköy,(Boyalık)Deliklikaya Mah.
112,Hadımköy kiptaş 1. Etap kiralık 2+1 daire,85,2+1,4.500,Arnavutköy,Hadımköy Mh.
113,HADIMKÖY DELİKLİKAYA KİPTAŞ-3 2+1 KİRALIK DAİRE,85,2+1,4.000,Hadımköy,(Boyalık)Deliklikaya Mah.
114,SAHİBİNDEN 2+1 SIFIR VADİPARK OKULLAR PARK BELEDİYE SADECE AİLE,90,2+1,6.000,Arnavutköy,Mustafa Kemal Paşa Mh.
115,Arnavutköy Yaşam Konakları Sitesi 3+1 Giriş Katı Daire Balkonlu,140,3+1,7.500,Arnavutköy,İslambey Mh.
116,KAPLAN İNŞAAT KİRALIK DAİRE,150,3+1,4.500,Arnavutköy,Anadolu Mah.
117,Arnavutköy Karaburun kiralik 5 odali icinde tv mutfak inteet,160,5+1,15.000,Köyler,Yeniköy Mh.
118,CB STAR'DAN VEFA KONUTLARIN'DA 2+1 KİRALIK,115,2+1,6.300,Arnavutköy,Hadımköy Mh.
119,ARNAVUTKÖY KİPTAŞ KONUTLARINDA 3+1 KİRALIK 115m2 DAİRE,115,3+1,7.500,Arnavutköy,Mustafa Kemal Paşa Mh.
120,havalimanina 10 dakika kiralik sıfır daire,95,2+1,5.500,Arnavutköy,Yavuz Selim Mah.
121,İSLAMBEY MAH.DE OKULA 100MT -85mt2 2+1 (5)YILLIK ASANSÖRLÜ DAİRE,100,2+1,5.000,Arnavutköy,İslambey Mh.
122,75 M2 kiralık 2+1 çatı katı,80,2+1,4.250,Boğazköy,Boğazköy İstiklal Mh.
123,ARNAVUTKÖY MERKEZDE YÜKSEK GİRİŞ BAHÇELİ SAHİBİNDEN KİRALK DAİRE,95,2+1,4.000,Arnavutköy,Arnavutköy Merkez Mh.
124,Arnavutköy nenehatun mah kiralık daire,95,2+1,5.000,Arnavutköy,Nenehatun Mah.
125,DELİKLİKAYA'DA NET 148 M2 3+1 KİRALIK DAİRE,172,3+1,7.500,Hadımköy,(Boyalık)Deliklikaya Mah.
126,SAHİBİNDEN SKYPARK1 SIFIR DUBLEKS DAİRE 2+1 KİRALIK,92,2+1,8.500,Taşoluk,Mareşal Fevzi Çakmak Mh.
127,"Aylık EŞYALI DELİKLİKAYA HADIMKÖY 3.ETAP KİPTAŞ 2+1,8.000.-TL",84,2+1,8.000,Hadımköy,(Boyalık)Deliklikaya Mah.
128,MERKEZDE DAİRE SAHİBİNDEN KOMİSYONSUZ,145,3+1,7.500,Arnavutköy,Arnavutköy Merkez Mh.
129,Sahibinden kiralık,90,2+1,5.500,Boğazköy,Atatürk Mh.
130,SAHİBİNDEN 2+1 KİRALIK DAİRE,100,2+1,4.800,Boğazköy,Atatürk Mh.
131,ARNAVUTKÖY BOLLUCA MERKEZ'DE 3+1 KİRALIK DAİRE,115,3+1,6.500,Bolluca,Mavigöl Mh.
132,KISA VEYA UZUN SÜRELİ EŞYALI KİRALIK DAİRE TURYAP'TAN,85,2+1,8.000,Hadımköy,(Boyalık)Deliklikaya Mah.
133,Hadımköy vefa konutları kiralık 2+1,117,2+1,6.100,Arnavutköy,Hadımköy Mh.
134,Arnavutköy Bollucada acil full eşyalı geniş ara kat daire,120,2+1,10.000,Bolluca,
135,ARNAVUTKÖY KİPTAŞ KONUTLARINDA 2+1 KİRALIK 75m2 DAİRE,75,2+1,4.700,Arnavutköy,Mustafa Kemal Paşa Mh.
136,Sahibinden 2+1 full eşyalı çatı kati,85,2+1,4.750,Arnavutköy,Yunus Emre Mah.
137,Havalimanı yanı Tayakadınköy 1+1 memura öğretmene hostese,100,1+1,5.000,Köyler,Tayakadın Mh.
138,Kiralık 100 M2 2.kat daire,100,2+1,5.000,Arnavutköy,Yunus Emre Mah.
139,Aileye kiralık 0 daire,90,2+1,6.000,Arnavutköy,Arnavutköy Merkez Mh.
140,Aslı emlaktan mavigöl mh butik site içinde kiralık arakat daire,100,2+1,6.200,Bolluca,Mavigöl Mh.
141,SOYAK KONFORİA SİTESİ1+1KİR­ALIK3.800-TL DAİRE,60,1+1,3.800,Hadımköy,(Boyalık)Deliklikaya Mah.
142,HADIM KÖY KİPTAŞ 1.ETAP ta KİRALIK ÇOK TEMİZ FUL YAPILI DAİRE,75,2+1,4.500,Arnavutköy,Hadımköy Mh.
143,Arnavutköy Simpark Evleri Taşoluk Sitesinde 3+1 Kiralık Daire,130,2+1,7.750,Haraççı,Karlıbayır Mh.
144,Hadımköy vefa konutlarında kiralık 3+1 daire,140,3+1,7.450,Arnavutköy,Hadımköy Mh.
145,ARNAVUTKÖY MUSTAFA KEMAL PAŞA MH. 3+1 115m² KİPTAŞ KONUTLARI,115,3+1,7.300,Arnavutköy,Mustafa Kemal Paşa Mh.
146,FULL EŞYALI KİRALIK DAİRE BOLLUCA KOCA YUSUF CADDESİ ÜZERİ,120,2+1,10.000,Bolluca,
147,ARNAVUTKÖY MUSTAFAKEMALPAŞA'DA SAHİBİNDEN KİRALIK 2+1 DAİRE,110,2+1,6.500,Arnavutköy,Mustafa Kemal Paşa Mh.
148,Arnavutköy de kiralık eşyalı daire,100,2+1,7.500,Arnavutköy,Anadolu Mah.
149,EŞYALI 3+1 BAYAN MEMURA KİRALIK DAİRE,130,3+1,5.000,Taşoluk,Mareşal Fevzi Çakmak Mh.
150,"2+1 Site içerisinde daire sahibinden,From owner directly monthly",130,2+1,9.500,Hadımköy,(Boyalık)Deliklikaya Mah.
151,FIRSAT 3+1 Ayrı mutfaklı dubleks,140,3+1,8.500,Taşoluk,Mareşal Fevzi Çakmak Mh.
152,ARNAVUTKÖY KARLIBAYIR SİMPARK SITESINDE KİRALIK DUBLEKS,270,4+2,16.000,Haraççı,Karlıbayır Mh.
153,Miaport 1.Etap Arnavutköy'de THY Çalış.Özel Balkonlu Kiralık 1+1,90,1+1,6.500,Haraççı,Haraççı Mh.
154,TEKBAŞLAR'DAN SİTE İÇERİSİNDE KÖŞE BAŞI KİRALIK DAİRE,80,2+1,4.000,Bolluca,
155,3.500.- TL YILLIK PEŞİN KÖŞE FERAH DELİKLİKAYA KİPTAŞ 3.ETAP 2+1,84,2+1,3.500,Hadımköy,(Boyalık)Deliklikaya Mah.
156,SAHİBİNDEN TOKİ 2. BÖLGEDE TADİLATLİ DAİRE,95,2+1,5.000,Arnavutköy,Hadımköy Mh.
157,HADIMKÖY TOKİ KONUTLARI 'THY PERS VE MEMURA' KİRALIK 3+1 DAİRE,140,3+1,6.500,Arnavutköy,Hadımköy Mh.
158,TAŞOLUK KİRALIK 2+1 MEMURA,90,2+1,4.000,Taşoluk,Taşoluk Mh.
159,Merkezi yerde lüx daire,100,2+1,4.750,Arnavutköy,Mustafa Kemal Paşa Mh.
160,HADIMKÖYKİPTAŞ 2.ETAP ÖMERLİ EŞYALI KİRALIK DAİRE TURYAP REDOX,75,2+1,5.750,Hadımköy,(Boyalık)Ömerli Mh.
161,TAŞOLUK YEŞİL CAMİİ KARŞISINDA,100,2+1,6.000,Taşoluk,Taşoluk Mh.
162,Sky park sitesinde kiralık 2+1 Amerikan mutfak daire,90,2+1,6.000,Arnavutköy,Yavuz Selim Mah.
163,Kiralik daire memura,95,2+1,5.000,Arnavutköy,Mustafa Kemal Paşa Mh.
164,ÇOK KULLANIŞLI AİLE APARTMANINDA 2+1 TERS DUBLEKS SIFIR DAİRE,95,2+1,4.500,Taşoluk,Taşoluk Mh.
165,HADIMKÖY ÖMERLİ KİPTAŞ 2.ETAP KİRALIK 2+1 95 M2 BOŞ DAİRE,95,2+1,5.100,Hadımköy,(Boyalık)Ömerli Mh.
166,ADAKUR'dan ÖMERLİ KİPTAŞ KONUTLARINDA KİRALIK 2+1 95m2 DAİRE,95,2+1,5.400,Hadımköy,(Boyalık)Ömerli Mh.
167,ARNAVUTKÖY MERKEZ MAHALLESINDE KIRALIK 3+1 DAİRE,120,3+1,6.200,Arnavutköy,Arnavutköy Merkez Mh.
168,BOLLUCADA İSTANBUL HAVALİMANI YAKININDA FULL EŞYALI KİRALIK 2+1,85,2+1,7.200,Bolluca,Mavigöl Mh.
169,Arnavutköy Merkezde Sadece Öğretmene Kiralık Daire,115,2+1,6.000,Arnavutköy,Arnavutköy Merkez Mh.
170,Arnavutköy Mustafa Kemal Paşa Mahallesi 2+1 Arakat Daire,90,2+1,6.000,Arnavutköy,Mustafa Kemal Paşa Mh.
171,20 gün e boş Havalimanına yakın neo gölparka komşu karsikarsiya,100,2+0,5.000,Arnavutköy,İmrahor Mh.
172,DELİKLİKAYA KİPTAŞ 3.ETAPTA 6.KAT 2+1 KİRALIK DAİRE,84,2+1,4.000,Hadımköy,(Boyalık)Deliklikaya Mah.
173,Sahibinden Vefa konutları temiz daire 2+1,120,2+1,6.000,Arnavutköy,Hadımköy Mh.
174,Kiralık 2+1 sıfır DAİRE,90,2+1,5.000,Arnavutköy,Nenehatun Mah.
175,Hadımköy çatı katı kiralık 3+1 daire,130,3+1,5.600,Arnavutköy,Hadımköy Mh.
176,"HADIMKÖY KİPTAŞ 3.ETAP ARA KAT,ÖNÜ AÇIK KİRALIK DAİRE TURYAP'TAN",85,2+1,4.000,Hadımköy,(Boyalık)Deliklikaya Mah.
177,HADIMKÖY VEFA KONUTLARI 'THY PERS. Ve MEMURA' KİRALIK 3+1 DAİRE,150,3+1,6.500,Arnavutköy,Hadımköy Mh.
178,ARNAVUTKÖY'DE SİTE İÇİNDE KİRALIK 2+1 DAİRE,100,2+1,6.000,Arnavutköy,Yavuz Selim Mah.
179,SKYPARK 1 PROJEMİZDE 2+1 Ön cephe fırsat daire,90,2+1,6.000,Taşoluk,Mareşal Fevzi Çakmak Mh.
180,TOKİ Taşoluk konutları,90,2+1,5.000,Taşoluk,Mehmet Akif Ersoy Mah.
181,HADIMKÖY KİPTAŞ 2.ETAP ÖMERLİ KİRALIK DAİRE TURYAP REDOX EMLAK,75,2+1,4.500,Hadımköy,(Boyalık)Ömerli Mh.
182,Arnavutköy İslambey Mahallesi 1+1 Bahçe Katı Daire,60,1+1,3.500,Arnavutköy,İslambey Mh.
183,3.ETAP KİPTAŞ KONUTLARI 2+1KİRALIK PEYZAJ MANZARALI 3.800-TL,84,2+1,3.800,Hadımköy,(Boyalık)Deliklikaya Mah.
184,Kiptas 1 ci etap eşyalı veya eşyasız kiralık daire,75,2+1,5.000,Arnavutköy,Hadımköy Mh.
185,Memurve öğretmene Bollucada 2+1kiralık daire AÇIKLAMAYI OKUYUN.,95,1+1,5.000,Bolluca,Mavigöl Mh.
186,KİPTAŞ HADIMKÖY 1. ETAP KİRALIK 2+1 DAİRE,95,2+1,4.250,Arnavutköy,Hadımköy Mh.
187,sahibinden temiz kiralik daire 2+1,113,2+1,4.500,Haraççı,Haraççı Mh.
188,Arnavutköy Anadolu mahallesinde merkezin az altında,135,3+1,5.000,Arnavutköy,Anadolu Mah.
189,SKYPARK1'DE 3+1 DUBLEKS DAİRE,130,3+1,10.000,Taşoluk,Mareşal Fevzi Çakmak Mh.
190,ANADOLU MAH 90 m2 KİRALIK DAİRE,100,2+1,4.750,Arnavutköy,Anadolu Mah.
191,ARNAVUTKÖY'de EŞYALI 3+1 KİRALIK DAİRE,170,3+1,7.000,Haraççı,Karlıbayır Mh.
192,kiralık daire,140,3+1,7.000,Boğazköy,Boğazköy İstiklal Mh.
193,SAHİBİNDEN AVLU AVM'YE İKİ DK SIFIR KİRALIK DAİRE,105,2+1,7.500,Arnavutköy,Mustafa Kemal Paşa Mh.
194,Kiralık 3+1 daire,130,3+1,5.600,Hadımköy,(Boyalık)Hastane Mah.
195,TAŞOLUK TOKİDE 3+1 EŞYALI KİRALIK DAİRE,125,3+1,7.500,Taşoluk,Mehmet Akif Ersoy Mah.
196,2.kiptaş ömerli konutları,75,2+1,4.000,Hadımköy,(Boyalık)Ömerli Mh.
197,5K İNŞAAT TAN KIRALIK 1+1 DAİRE,55,1+0,4.000,Haraççı,Karlıbayır Mh.
198,Mustafa kemal paşa mahallesinde bahçe katı,90,2+1,3.500,Arnavutköy,Mustafa Kemal Paşa Mh.
199,Arnavutköy de kiralık eşyalı daire,110,2+1,7.500,Arnavutköy,Anadolu Mah.
200,SAHİBİNDEN BOLLUCADA KİRALIK 2+1 EŞYALI ve BAHÇELİ DAİRE,100,2+1,7.000,Bolluca,Mavigöl Mh.
201,ARNAVUTKÖY HARAÇÇI'DA KİRALIK 105 M2 BALKONLU 2+1 DAİRE,105,2+1,4.000,Haraççı,Haraççı Mh.
202,Kiralık konumu çok iyi merkezde,70,1+1,5.000,Arnavutköy,Mustafa Kemal Paşa Mh.
203,SKYPARK-1 SİTESİNDE AYRI MUTFAKLI ÖZEL DUBLEKS,120,2+2,10.000,Taşoluk,Mareşal Fevzi Çakmak Mh.
